,sample_id,# MS2 peaks,# MS3 peaks,# MS4 peaks,# MS5 peaks,Parent m/z,MA (lower est.),MA (upper est.),MA (mean est.),MA (est.),MA (MW est.),formula,MW,CAS,SMILES,Dataset,MA,Error
54,Alasdair_MS5/Sample_#18_MS5,4,19,34,24,305.962,8.696395211,14.25216199,11.04496213,"[13.15496814 11.02054389 11.71267131 14.25216199 11.43051963 11.826454
 10.21623975  9.50887323 11.33436109 11.08734667  8.69639521 12.40411071
 13.04800705 13.33737371  9.09309215 10.3481857   9.87471334  9.1879689
  8.92740302 10.43785313]",20.78557257,C9H8INO3,305.1,147-58-0,O=C(O)CNC(=O)c1ccccc1I,Alasdair,10,1.044962132
55,Alasdair_MS5/Sample_#19_MS5,25,54,39,21,301.9545,8.141359337,13.3167344,10.89970479,"[ 8.95764143 12.98287727 10.06600141 12.2095519  13.18384555 10.26597034
  9.77557692 11.07066472 12.6319599   9.97580029  9.51720258 11.88612114
  8.14135934  9.24275289 11.9857602   9.70491209 12.46411441 11.09230803
 13.3167344   9.522941  ]",20.90056266,C9H7IN2O2,302.1,885518-82-1,COC(=O)c1ccc2c(I)[nH]nc2c1,Alasdair,11,0.100295211
56,Alasdair_MS5/Sample_#22_MS5,34,82,127,212,299.269,14.94106721,21.71528503,18.36905295,"[17.7091569  19.88713716 17.33929246 19.77458809 20.05936609 19.92717613
 20.94330893 19.23677923 20.46382798 15.90069335 16.22478206 17.82156974
 21.71528503 18.085224   17.40998565 16.1952288  15.87311804 14.94106721
 19.83385724 18.03961485]",21.35626935,C17H34N2O2,298.5,18073-84-2,OCCN1CCC(CCCC2CCN(CCO)CC2)CC1,Alasdair,8,10.36905295
57,Alasdair_MS5/Sample_#22_MS5,34,82,127,212,299.269,14.94106721,21.71528503,18.36905295,"[17.7091569  19.88713716 17.33929246 19.77458809 20.05936609 19.92717613
 20.94330893 19.23677923 20.46382798 15.90069335 16.22478206 17.82156974
 21.71528503 18.085224   17.40998565 16.1952288  15.87311804 14.94106721
 19.83385724 18.03961485]",21.35626935,C17H34N2O2,298.5,18073-84-2,OCCN1CCC(CCCC2CCN(CCO)CC2)CC1,Alasdair,8,10.36905295
58,Alasdair_MS5/Sample_#23_MS5,3,19,32,14,304.774,6.268998286,11.61055934,10.26789365,"[ 8.94110111  6.26899829  9.90480907  8.84278748 11.61055934 10.70650302
 11.40604444  9.08202089  9.75898246 11.44395825 10.55237119 11.13481407
 11.54994151  9.40445207 10.74515885 11.55612896 10.10461382 11.44699664
 10.46512751 10.43250406]",21.05386714,C3HBr3N2,304.8,17635-44-8,Brc1n[nH]c(Br)c1Br,Alasdair,7,3.267893652
59,Alasdair_MS5/Sample_#23_MS5,3,19,32,14,304.774,6.268998286,11.61055934,10.26789365,"[ 8.94110111  6.26899829  9.90480907  8.84278748 11.61055934 10.70650302
 11.40604444  9.08202089  9.75898246 11.44395825 10.55237119 11.13481407
 11.54994151  9.40445207 10.74515885 11.55612896 10.10461382 11.44699664
 10.46512751 10.43250406]",21.05386714,C3HBr3N2,304.8,17635-44-8,Brc1n[nH]c(Br)c1Br,Alasdair,7,3.267893652
60,Alasdair_MS5/Sample_#24_MS5,3,9,15,20,302.0649,15.49561719,21.51168815,18.79123408,"[21.51168815 17.63692103 18.43914835 18.36263475 20.01600139 16.04804957
 20.6929532  18.47546625 19.1200765  17.61159848 16.87628772 20.16353186
 21.50806581 19.13077596 17.30673143 20.63855681 17.59001516 21.0297614
 15.49561719 18.17080048]",20.28745332,C10H12ClN5O4,301.7,146-77-0,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Alasdair,14,4.791234075
61,Alasdair_MS5/Sample_#24_MS5,3,9,15,20,302.0649,15.49561719,21.51168815,18.79123408,"[21.51168815 17.63692103 18.43914835 18.36263475 20.01600139 16.04804957
 20.6929532  18.47546625 19.1200765  17.61159848 16.87628772 20.16353186
 21.50806581 19.13077596 17.30673143 20.63855681 17.59001516 21.0297614
 15.49561719 18.17080048]",20.28745332,C10H12ClN5O4,301.7,146-77-0,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Alasdair,14,4.791234075
62,Alasdair_MS5/Sample_#25_MS5,9,32,104,39,303.0407,14.30122539,23.84363992,19.12075384,"[19.60875369 19.11603413 19.66823892 18.95850056 23.84363992 19.8378866
 22.68472439 17.80475984 20.60310632 19.10619888 18.4746744  17.54121412
 19.25506036 19.0029404  16.69018874 21.51844874 17.60171682 19.61299248
 14.30122539 17.18477199]",20.36795428,C12H9F3N2O2S,302.3,1038335-12-4,O=C(O)CSc1nccn1-c1ccc(C(F)(F)F)cc1,Alasdair,17,2.120753835
63,Alasdair_MS5/Sample_#25_MS5,9,32,104,39,303.0407,14.30122539,23.84363992,19.12075384,"[19.60875369 19.11603413 19.66823892 18.95850056 23.84363992 19.8378866
 22.68472439 17.80475984 20.60310632 19.10619888 18.4746744  17.54121412
 19.25506036 19.0029404  16.69018874 21.51844874 17.60171682 19.61299248
 14.30122539 17.18477199]",20.36795428,C12H9F3N2O2S,302.3,1038335-12-4,O=C(O)CSc1nccn1-c1ccc(C(F)(F)F)cc1,Alasdair,17,2.120753835
64,Alasdair_MS5/Sample_#26_MS5,10,11,32,16,296.0236,12.68993413,21.29693187,17.27790239,"[15.53426968 15.55464984 16.7484843  12.68993413 15.7207804  13.89579753
 16.71821494 20.21792925 21.15916588 17.55568254 13.86455053 19.73748765
 17.70324171 19.92538624 21.29693187 16.11956216 17.73838834 17.90191619
 17.39977193 18.07590269]",20.82342056,C14H11Cl2NO2,296.1,15307-86-5,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Alasdair,11,6.27790239
65,Alasdair_MS5/Sample_#27_MS5,13,32,39,46,304.9098,7.610887395,12.34278661,10.33901698,"[ 9.4649763   8.95505771 10.69828787  8.53712792 10.31914902  9.63721988
 11.72151037  8.85318931  7.61088739 11.31150216 10.69527809  9.86966716
 11.64836072 10.12626349 11.35087667 12.34278661 11.1688696  12.29608347
  9.12703468 11.0462112 ]",20.15773173,C9H5ClINO,305.5,130-26-7,Oc1c(I)cc(Cl)c2cccnc12,Alasdair,9,1.339016981
66,Alasdair_MS5/Sample_#28_MS5,9,41,20,11,297.8595,5.597133758,9.189642999,7.274599947,"[8.09802555 6.59492902 7.8666805  8.26143699 7.68685143 5.78197373
 6.12942068 8.25479202 7.00511387 6.57257967 7.77339546 5.59713376
 9.189643   7.84372028 5.87806999 6.70624917 6.10443034 8.07827552
 7.9916834  8.07759456]",19.37930885,C5H4BrIN2,298.9,381233-96-1,Nc1ncc(Br)cc1I,Alasdair,7,0.274599947
67,Alasdair_MS5/Sample_#28_MS5,9,41,20,11,297.8595,5.597133758,9.189642999,7.274599947,"[8.09802555 6.59492902 7.8666805  8.26143699 7.68685143 5.78197373
 6.12942068 8.25479202 7.00511387 6.57257967 7.77339546 5.59713376
 9.189643   7.84372028 5.87806999 6.70624917 6.10443034 8.07827552
 7.9916834  8.07759456]",19.37930885,C5H4BrIN2,298.9,381233-96-1,Nc1ncc(Br)cc1I,Alasdair,7,0.274599947
68,Alasdair_MS5/Sample_#29_MS5,4,28,103,110,303.1675,15.27520565,22.78017643,18.48791449,"[16.95093915 16.93863656 22.78017643 17.53829857 20.36110931 22.20073508
 21.15514309 19.61095863 17.5257802  17.93441998 16.65814858 16.82626208
 15.57213658 18.94314655 17.47618556 20.06721088 16.52343597 15.27520565
 18.91477462 20.50558626]",22.33163426,C16H20BFN2O2,302.2,2246882-18-6,CC1(C)OB(c2cc(F)cc(Cn3ccnc3)c2)OC1(C)C,Alasdair,18,0.487914486
69,Alasdair_MS5/Sample_#9_MS5,13,76,152,116,304.1265,14.45802778,21.59219515,17.51456981,"[16.75486555 15.67173042 17.2724531  15.49341108 17.45638635 19.30146817
 14.45802778 15.05538866 16.486817   18.86091633 16.86905759 18.67538298
 14.73834722 19.41374636 18.34154455 20.28765376 21.59219515 17.52440968
 19.38928441 16.64830999]",20.08214665,C13H16F3N3O2,303.28,1031929-07-3,O=C(O)CCN1CCN(c2ccc(C(F)(F)F)cn2)CC1,Alasdair,15,2.514569807
70,110523/CAS_100442_33_9,26,29,106,0,298.2165,14.51612707,22.89906621,17.37483165,"[17.47908389 14.96996731 17.13054932 17.33412669 14.51612707 17.88399337
 18.18164386 22.89906621 15.83711466 15.47815602 18.50782934 15.56584827
 16.89111369 16.44718779 19.48884975 16.91367245 19.67080231 15.16883293
 19.40066135 17.73200679]",20.96655382,C20H27NO,297.43,100442-33-9,CN(CCC(c1ccccc1)c1ccccc1)CC(C)(C)O,Alasdair,12,5.374831653
71,110523/CAS_1306606_88_1,45,129,113,0,305.0565,13.0157065,22.14654138,18.32489989,"[18.78917388 18.87812938 19.62279599 18.95345706 13.0157065  22.14654138
 19.80516772 21.53087595 20.12723883 15.09827561 15.34033002 16.76433589
 17.33035851 16.36720767 17.67580361 18.00508514 17.63128267 19.32794563
 21.23954577 18.84874054]",20.57847254,C12H11F3N2O2S,304.29,1306606-88-1,CCc1ccc2nc(NC(=O)OCC(F)(F)F)sc2c1,Alasdair,18,0.324899888
72,110523/CAS_1306606_88_1,45,129,113,0,305.0565,13.0157065,22.14654138,18.32489989,"[18.78917388 18.87812938 19.62279599 18.95345706 13.0157065  22.14654138
 19.80516772 21.53087595 20.12723883 15.09827561 15.34033002 16.76433589
 17.33035851 16.36720767 17.67580361 18.00508514 17.63128267 19.32794563
 21.23954577 18.84874054]",20.57847254,C12H11F3N2O2S,304.29,1306606-88-1,CCc1ccc2nc(NC(=O)OCC(F)(F)F)sc2c1,Alasdair,18,0.324899888
